S10	S11	S12	S13	S13prime	S14	S15	S16	S17	S18	S19	S1	S20	S20prime	S21	S22	S23	S24	S25	S26	S27	S28	S29	S2	S30	S31	S32	S33	S34	S35	S36	S37	S38	S3	S4	S5	S6	S7	S8	S9	gene.names
7971	5966	5655	5993	9154	5414	4541	8301	4615	3632	4880	1344	6488	7650	8380	7979	6629	9200	3869	13273	6544	6384	6518	3917	11111	4715	6359	8259	9101	7288	9842	4539	4315	4161	4691	6561	5042	4049	2386	3238	CAGL0F06413g
44	35	24	23	36	16	17	31	9	9	30	67	31	57	49	43	91	134	76	210	126	145	118	122	203	114	95	190	168	109	173	143	141	67	97	72	113	35	20	25	CAGL0F06435g
564	377	347	252	410	295	216	369	142	160	263	173	359	404	323	400	491	707	317	922	476	750	448	437	746	427	417	672	868	395	1008	585	556	233	335	369	453	327	216	208	CAGL0F06457g
493	381	317	245	386	263	206	307	164	128	233	208	310	415	346	362	434	560	237	600	404	387	325	542	590	358	282	485	418	307	603	626	732	345	439	444	500	392	236	225	CAGL0F06479g
274	268	206	141	223	115	111	145	76	70	141	274	184	255	165	176	302	416	180	479	302	258	265	537	423	241	212	362	319	260	354	653	651	410	653	534	638	236	166	141	CAGL0F06501g
177	97	73	60	72	46	77	77	37	39	96	406	123	155	120	113	250	323	174	486	276	239	252	816	368	255	208	323	329	325	415	949	1134	460	658	532	699	173	141	104	CAGL0F06523g
114	84	80	77	122	107	80	113	72	62	93	39	121	134	179	205	182	373	95	243	245	246	151	93	324	142	110	280	286	128	273	158	176	27	52	70	56	45	26	46	CAGL0F06545g
1137	910	817	675	1010	813	646	1001	528	472	680	247	925	1174	962	1057	1166	1546	658	1676	1014	1209	933	693	1506	974	751	1345	1279	848	1320	956	985	340	381	536	568	573	343	403	CAGL0F06567g
178	34	32	57	72	40	17	20	26	20	24	8	26	30	69	70	46	145	22	64	92	72	38	7	143	45	27	116	105	36	119	7	10	9	8	12	13	41	25	63	CAGL0F06589g
5	2	3	0	0	2	1	7	5	0	1	4	6	6	2	1	3	8	8	25	11	6	13	7	15	13	20	17	16	18	23	4	6	1	8	2	8	4	0	1	CAGL0F06600r
661	385	410	309	489	323	298	530	263	229	468	217	655	760	678	712	1137	1517	706	2075	1304	1434	1129	555	1921	1135	974	1747	1764	1077	2082	670	773	254	291	372	381	321	230	224	CAGL0F06611g
689	481	441	378	530	343	204	313	196	172	233	146	316	357	382	387	475	659	223	515	453	441	318	393	617	303	254	528	421	261	514	571	605	214	315	310	351	445	252	274	CAGL0F06633g
406	255	225	248	336	315	158	264	177	165	159	31	239	296	380	364	294	559	141	426	358	444	230	90	528	268	212	407	393	213	367	201	159	71	96	104	141	159	120	155	CAGL0F06655g
109	46	77	94	115	126	60	131	108	113	66	8	138	160	365	444	123	747	77	385	595	733	106	27	904	115	149	843	834	83	973	9	10	8	22	22	23	21	15	30	CAGL0F06677g
1633	944	841	799	1103	741	580	880	338	325	601	529	570	772	638	590	588	829	302	734	489	525	377	1404	678	451	309	579	463	349	648	1492	1679	807	875	1007	1113	864	539	614	CAGL0F06693g
34	17	19	14	32	17	11	17	11	11	9	4	15	15	24	27	29	34	10	46	41	59	27	12	62	21	24	39	55	20	62	13	18	7	12	16	15	22	7	10	CAGL0F06699g
1518	1103	949	795	1231	859	540	833	556	450	624	303	847	1090	1052	1048	1150	1838	523	1452	1201	1191	847	803	1617	1020	679	1349	1107	680	1242	1033	1124	478	624	711	778	780	473	595	CAGL0F06721g
664	531	443	356	544	400	358	458	248	223	341	133	470	581	568	591	754	909	366	973	643	768	557	398	898	591	469	730	764	496	897	619	582	253	308	341	397	423	272	240	CAGL0F06743g
548	476	388	327	500	408	300	486	214	189	315	84	332	441	347	381	325	517	146	352	276	334	220	184	352	232	205	359	272	181	291	280	259	114	146	192	205	287	187	195	CAGL0F06765g
544	503	379	282	463	347	277	456	242	179	355	88	458	587	443	552	773	954	462	1231	708	844	631	242	1126	824	562	878	904	596	903	377	343	151	169	213	252	305	195	198	CAGL0F06787g
50	16	7	13	11	14	9	8	11	6	18	262	40	54	33	33	113	183	134	276	220	193	245	1006	369	214	263	296	358	245	404	1057	1177	507	631	609	764	93	70	55	CAGL0F06809g
2041	2383	2092	1563	2392	1600	1277	2213	1135	972	1458	497	2107	2639	2127	2224	3539	4818	2025	6414	3878	4766	3313	1271	6327	3198	2969	4863	5344	2994	5051	1890	2207	810	1024	1265	1217	1772	1164	984	CAGL0F06831g
184	88	112	74	73	65	60	113	56	41	80	494	169	185	146	173	340	591	250	650	471	555	388	970	761	378	331	702	742	410	955	1127	1327	538	729	599	757	150	122	148	CAGL0F06853g
3324	1528	1404	1967	2932	2214	693	1107	1033	896	783	138	856	1081	1810	1969	1088	2724	606	1563	1696	1293	797	585	2156	913	646	1716	1164	612	1476	555	625	328	426	499	555	800	465	1121	CAGL0F06875g
471	381	321	205	308	221	202	272	153	145	229	367	267	333	413	379	468	948	262	576	857	631	447	989	1269	572	495	1066	794	571	1051	931	1081	567	696	660	836	299	229	235	CAGL0F06897g
743	1063	954	606	876	673	743	1118	449	442	831	126	1051	1415	799	895	1323	1289	732	1967	772	779	967	420	952	1359	804	883	676	783	770	937	931	197	255	309	363	571	343	329	CAGL0F06919g
3504	4651	3538	3205	4605	4021	3439	5152	3500	3208	3361	322	4939	6308	6078	6771	6304	10352	2923	8046	5836	6895	5109	1195	8938	7985	3611	7325	5164	3937	5121	4192	4362	928	1008	1152	1200	1519	838	1151	CAGL0F06941g
230	185	171	112	171	112	87	114	46	30	94	68	115	130	126	121	198	241	96	173	171	150	99	168	264	200	120	200	176	176	209	220	232	111	149	155	187	168	89	114	CAGL0F06963g
285	251	235	177	252	173	149	189	94	72	140	98	187	262	215	205	330	432	150	431	296	344	225	209	420	330	219	383	303	193	344	286	301	133	153	177	218	189	121	131	CAGL0F06985g
1013	599	420	670	835	756	305	514	399	367	440	74	630	859	1030	1065	1074	2033	641	1019	1325	1274	1051	318	1851	1290	809	1358	1113	791	1166	364	355	185	258	290	321	470	199	342	CAGL0F07007g
5417	4312	3252	3707	5471	4073	1861	2697	2244	2074	2181	433	2739	3364	4148	4372	2583	4209	965	2376	1666	2165	1525	2143	2672	1948	1067	2332	1972	1118	2245	3077	3613	844	1230	1228	1531	2202	1449	1542	CAGL0F07029g
700	718	644	461	697	511	422	718	362	324	501	127	623	721	706	866	951	1363	511	1306	963	1182	735	357	1476	924	634	1258	1243	657	1304	546	543	250	287	323	379	391	274	255	CAGL0F07051g
22459	4100	3475	2387	2745	1690	471	425	239	195	400	13980	388	482	467	393	894	987	923	2077	956	806	1677	37958	1700	997	1206	1584	1562	2714	2318	38377	44154	25641	29136	28867	31374	12578	9656	9533	CAGL0F07073g
1188	478	387	291	484	376	211	275	230	191	196	376	312	326	474	618	284	1087	172	284	649	714	233	966	1095	287	197	891	781	220	690	1745	2113	601	618	788	811	687	393	457	CAGL0F07095g
767	943	953	821	1119	912	888	1583	735	714	1213	48	1741	2043	1619	2022	2883	3448	1686	4960	2149	2554	2668	144	3408	3012	2360	2932	2352	2328	2214	388	271	66	102	152	201	359	206	271	CAGL0F07117g
759	302	248	187	222	147	166	242	111	117	244	941	383	415	363	366	738	995	555	1514	920	872	909	2190	1231	816	838	1212	1038	1002	1205	2577	3037	1452	1905	1548	1905	499	415	393	CAGL0F07139g
820	759	647	516	750	545	558	872	368	319	612	212	827	1065	685	821	1049	1434	569	1555	902	1090	844	574	1447	1105	713	1227	1141	645	1190	685	750	359	439	468	470	468	283	307	CAGL0F07172g
214	143	97	116	145	133	75	112	74	67	77	61	124	174	187	193	202	315	127	245	205	271	188	216	330	191	182	244	282	146	288	245	246	139	136	153	154	183	77	101	CAGL0F07249g
347	285	256	184	274	170	168	311	120	131	253	130	322	364	368	376	672	856	360	1042	665	836	600	294	980	554	528	859	891	545	1085	394	386	221	283	245	286	216	154	139	CAGL0F07271g
495	338	287	254	323	254	217	374	167	160	323	150	443	501	461	474	809	1042	474	1495	819	877	770	413	1125	788	644	830	833	717	935	651	614	241	304	346	417	372	250	207	CAGL0F07293g
958	865	773	574	797	630	450	773	421	340	592	120	732	858	734	841	1143	1299	572	1542	828	800	845	360	1118	1008	731	982	807	684	763	522	588	227	235	287	290	466	322	307	CAGL0F07315g
619	448	339	336	467	338	319	487	207	195	248	123	361	444	427	377	422	512	198	442	314	313	194	320	513	230	135	416	266	316	337	514	427	252	321	314	339	348	205	223	CAGL0F07337g
2458	1137	1196	1612	2136	1601	631	1034	882	757	920	449	1187	1491	2494	2481	2279	4978	1568	4314	3640	2642	2283	1279	4341	2390	2105	3290	2688	2703	3343	1464	1792	786	951	964	1150	1086	632	1014	CAGL0F07359g
79	68	47	33	64	56	36	71	32	26	42	28	66	95	77	78	124	197	84	158	122	153	162	113	262	174	132	174	147	138	180	113	146	60	72	85	82	58	37	30	CAGL0F07381g
195	65	55	41	62	28	46	89	41	16	86	436	121	144	139	123	260	445	202	526	358	366	288	916	533	274	283	503	477	321	561	1098	1397	505	689	661	792	165	131	104	CAGL0F07403g
371	286	248	202	283	203	155	225	139	114	175	138	246	292	308	315	390	616	224	622	412	431	336	329	630	311	301	502	497	356	598	434	472	211	276	265	321	246	151	154	CAGL0F07425g
392	288	283	208	299	236	174	272	141	121	192	51	271	363	256	286	356	463	170	520	240	300	254	106	355	336	243	277	241	214	206	237	211	87	113	168	137	237	116	148	CAGL0F07447g
1924	1447	1172	1052	1533	1082	796	1253	600	586	832	350	966	1176	942	1005	930	1184	440	1134	736	812	604	994	1010	576	520	801	755	501	823	1025	1201	538	554	720	789	1008	578	839	CAGL0F07469g
2331	1792	1720	1360	1857	1377	896	1458	736	654	1004	480	1195	1510	1299	1348	1792	2485	857	2277	1627	1735	1095	1305	2114	1578	1066	1797	1426	1126	1674	1648	1552	844	936	1155	1287	1341	804	902	CAGL0F07491g
690	617	519	563	859	743	570	799	572	557	693	18	839	1120	1169	1538	1453	2903	680	1633	2067	2295	1348	104	3524	2447	1006	3241	2076	987	2208	371	388	12	23	42	60	168	89	169	CAGL0F07513g
1198	1354	862	646	882	640	549	710	323	239	506	150	724	1045	557	579	1141	882	562	920	474	469	1031	936	680	1518	875	514	437	785	375	1195	1070	475	603	834	878	1212	503	489	CAGL0F07535g
56	44	27	37	30	26	24	40	22	21	43	86	57	68	40	55	86	175	76	168	131	118	107	155	176	105	102	152	143	136	212	181	211	86	109	96	131	52	35	31	CAGL0F07557g
442	329	224	285	303	315	268	347	231	172	189	62	250	354	480	488	505	1246	144	202	853	761	223	229	2362	572	150	1920	1252	263	1388	381	474	101	102	184	214	195	97	171	CAGL0F07579g
7279	6410	5016	6175	5872	5562	4043	5454	2959	2265	2569	964	4006	5818	5521	4879	8070	11189	2547	3337	6843	5203	4491	5407	14241	14200	3942	10593	6055	7060	6580	5292	5830	2491	3115	3536	3463	4075	1865	3079	CAGL0F07601g
217	162	163	118	170	106	76	102	47	49	113	107	109	148	156	140	244	344	100	289	270	240	190	268	380	230	167	307	266	202	334	320	304	126	184	217	220	144	102	102	CAGL0F07623g
99	44	55	27	32	24	23	42	27	11	56	212	71	71	71	82	190	258	149	400	231	259	223	498	400	272	218	421	391	295	649	547	618	256	342	326	398	67	66	63	CAGL0F07645g
1058	828	637	612	951	726	495	730	483	431	560	139	747	905	893	1004	1242	1722	650	1894	1243	1524	1058	367	1992	1127	927	1711	1740	1054	1779	526	557	287	390	356	439	462	295	353	CAGL0F07667g
933	773	681	565	818	604	455	722	371	356	519	177	700	930	770	840	1078	1349	579	1606	960	1052	1028	479	1528	1192	826	1112	1146	865	1107	614	668	288	365	392	422	476	301	313	CAGL0F07689g
606	455	404	320	508	389	287	446	236	191	350	184	414	482	413	439	409	602	230	628	355	385	316	571	439	281	251	316	343	257	414	712	831	264	303	365	411	320	204	283	CAGL0F07711g
419	308	300	206	284	187	144	252	128	100	224	151	288	348	285	286	516	626	319	837	430	450	465	402	644	427	412	536	586	443	558	486	516	223	291	316	301	262	169	186	CAGL0F07733g
450	179	174	209	294	175	69	121	75	76	86	103	114	130	149	143	133	252	76	138	174	164	134	254	325	236	132	304	304	133	479	263	268	166	236	246	267	232	131	182	CAGL0F07755g
2185	3984	3185	3469	5379	4322	6499	8155	6230	4603	8303	39	11892	15367	14418	13529	19341	40830	13597	35446	26755	29701	25704	131	43695	46299	18922	51992	28743	19413	31280	930	664	81	111	126	168	509	279	530	CAGL0F07777g
1468	1197	1106	955	1395	1075	828	1267	752	681	1087	145	1532	1812	1803	1970	2581	4371	1800	5599	3036	3382	3260	501	4586	3947	2979	4555	3578	3079	3637	788	813	263	343	435	452	686	436	519	CAGL0F07799g
783	663	580	525	717	550	412	660	339	317	493	140	702	794	762	817	987	1366	541	1554	830	1028	850	350	1264	942	677	997	999	660	997	470	462	218	298	369	395	525	269	325	CAGL0F07821g
232	170	188	122	149	118	122	167	72	62	144	123	187	223	165	217	289	405	189	488	291	323	288	247	515	322	284	425	406	310	525	282	360	195	219	211	229	195	110	87	CAGL0F07843g
288	410	306	234	354	224	200	316	137	98	224	35	269	325	281	248	402	461	209	669	294	350	343	105	462	295	251	366	382	231	480	82	82	109	140	128	129	277	145	134	CAGL0F07865g
1643	981	758	622	868	635	446	602	288	247	470	695	644	770	648	623	912	1277	503	1199	840	848	737	1789	1167	906	632	986	797	687	888	2130	2331	1182	1371	1477	1575	1115	682	760	CAGL0F07887g
457	331	305	297	422	251	256	343	165	144	245	147	360	440	357	384	514	576	258	757	466	518	447	330	629	436	397	539	550	440	635	474	454	202	284	302	327	276	178	187	CAGL0F07909g
1417	1184	1232	879	1367	1044	929	1523	758	635	1148	305	1453	1987	1429	1762	2129	2850	1071	2835	1752	1936	1631	900	2662	2024	1437	2319	1870	1397	2012	1234	1425	434	567	659	744	773	447	483	CAGL0F07931g
109	28	36	121	128	100	23	23	65	61	25	9	29	39	168	186	68	380	46	119	279	416	83	18	551	176	64	548	423	78	456	25	19	13	16	23	25	19	9	30	CAGL0F07953g
1112	1135	903	784	1113	910	648	923	548	522	686	34	1009	1203	1000	1285	1402	1923	719	1717	1321	1505	1297	145	2097	1839	1013	1601	1376	883	1212	292	209	95	110	212	193	565	310	398	CAGL0F07975g
740	819	624	435	661	357	415	569	264	202	488	307	584	740	588	614	1417	1619	579	1431	1221	1038	990	986	2180	1438	959	1742	1401	1262	1674	1028	1074	579	710	760	849	616	406	382	CAGL0F07997g
166	126	115	67	81	48	63	113	23	30	100	117	140	189	77	96	294	287	197	614	218	212	309	303	350	327	354	332	294	395	389	456	463	169	186	243	312	158	105	104	CAGL0F08019g
5907	4518	4126	2956	4410	3396	3523	5677	2338	2224	4399	1350	6359	8028	5339	6240	12863	10014	7973	21552	6770	6683	13729	4150	11187	9574	10277	7700	6879	12270	7423	4462	5093	2877	3602	3424	3842	3703	2171	2300	CAGL0F08041g
1907	1444	949	1081	1459	1373	849	1262	800	807	831	144	1318	1677	1576	1885	1916	2774	1056	2170	1665	2049	1811	760	2783	2210	1443	2070	2005	1381	1765	839	851	486	627	709	724	1114	549	723	CAGL0F08063g
167	198	199	153	246	147	98	179	102	81	147	39	167	217	250	288	353	685	221	414	559	637	376	118	1051	809	300	1095	726	335	826	410	439	25	35	57	51	61	53	57	CAGL0F08085g
6620	6665	5275	5161	7626	5868	4522	6699	4149	3738	4530	548	5632	7534	6545	7186	5903	9393	2363	5784	5217	4947	3481	2208	6737	5713	3061	5563	3889	2631	4074	4835	6032	652	781	1557	1583	2451	1524	2192	CAGL0F08107g
152	38	23	22	27	15	29	39	23	11	83	544	91	106	77	75	311	376	292	674	351	352	419	1440	688	353	369	572	540	564	718	1562	2207	748	933	758	943	128	109	89	CAGL0F08129g
648	496	342	269	356	247	234	241	130	120	247	246	357	442	275	328	584	598	310	875	428	462	490	557	654	482	466	547	544	583	592	713	766	435	532	560	632	414	299	312	CAGL0F08151g
73	58	47	50	92	88	40	52	54	45	49	7	64	73	96	132	99	231	61	104	145	186	96	44	245	119	69	189	203	69	154	72	110	10	12	17	19	20	13	30	CAGL0F08173g
174	169	87	138	205	121	100	72	105	68	77	91	56	72	173	158	132	217	48	86	107	77	83	166	153	64	29	111	98	60	104	22	21	110	67	106	93	126	40	73	CAGL0F08195g
2	3	3	2	3	3	1	0	0	1	3	1	2	1	6	3	3	11	5	8	20	28	11	1	31	8	12	33	51	9	51	2	1	2	3	2	1	5	0	0	CAGL0F08217g
2157	2167	1902	1515	2128	1767	1373	2103	1103	989	1547	221	2069	2709	2008	2405	2879	4027	1311	3769	2535	2772	2338	594	3846	2936	1924	3247	2514	1627	2356	860	815	512	688	697	786	1114	702	754	CAGL0F08239g
390	466	558	1460	2105	2207	1850	3285	3779	4300	2955	9	3954	5143	9375	12202	6985	20357	3683	8787	14753	15715	4838	48	20759	4316	3208	16036	12334	2777	9913	138	113	15	20	24	24	52	38	84	CAGL0F08261g
920	690	592	483	715	526	365	650	296	293	422	199	569	733	611	793	877	1119	471	1250	837	931	660	509	1186	693	572	968	998	644	1095	687	771	331	442	482	547	569	381	354	CAGL0F08283g
459	336	287	260	382	266	245	352	183	154	276	139	364	454	423	488	601	852	298	998	594	757	505	331	903	522	406	784	727	476	844	616	622	189	235	268	285	225	149	181	CAGL0F08305g
271	301	296	207	362	273	275	426	268	215	438	36	574	689	629	743	1008	1485	618	1843	1155	1675	974	135	1989	1198	784	1713	1643	751	1910	179	184	76	105	102	127	143	78	99	CAGL0F08327g
1251	618	451	634	916	642	324	400	455	386	433	435	511	719	1058	1113	897	2964	547	1321	2810	2941	747	1281	4358	662	593	3291	3916	732	4005	986	1316	829	1048	947	1047	589	383	526	CAGL0F08371g
1337	940	846	651	1052	789	518	917	476	432	650	251	823	994	885	1032	1214	1546	608	1802	1219	1313	969	621	1641	1105	828	1358	1330	826	1526	804	861	424	525	576	648	640	446	473	CAGL0F08393g
682	343	343	287	415	292	151	302	169	142	187	179	257	398	305	375	332	562	221	687	446	546	355	447	691	333	316	578	614	333	778	604	625	269	350	377	439	331	244	266	CAGL0F08415g
410	295	281	179	307	195	132	230	88	93	177	153	222	268	224	230	346	439	235	611	351	372	352	338	535	326	337	453	505	335	544	448	463	220	289	281	322	266	198	161	CAGL0F08437g
3273	1179	955	829	1352	767	324	415	229	203	477	1706	535	676	662	564	1037	1722	674	1714	1337	884	1132	4017	1977	817	1060	1744	1362	1204	1834	4050	4708	2635	3277	3335	3537	2062	1421	1661	CAGL0F08459g
1159	765	685	633	874	633	496	716	490	467	629	356	852	1056	944	1108	1377	2068	751	1759	1375	1568	999	771	1861	1287	804	1526	1307	827	1625	1018	885	464	553	670	811	546	403	440	CAGL0F08481g
2178	1060	865	887	1175	847	375	615	407	316	446	464	545	782	792	714	535	817	279	813	414	439	467	1323	704	512	435	704	490	509	719	1656	1752	812	983	1119	1258	1236	817	827	CAGL0F08503g
817	406	346	263	434	277	167	231	121	119	289	628	376	441	329	280	632	730	427	1149	543	516	702	1305	909	717	671	804	664	683	792	1575	1597	832	1266	1080	1300	446	352	326	CAGL0F08525g
17091	4461	3715	3412	4655	3138	1111	1523	1084	844	1361	6599	1587	2130	2397	2331	2632	5547	2053	4754	4356	3687	3487	18732	7147	2958	3043	6122	4938	4084	6414	17546	20591	11863	14404	15026	15656	8555	5626	6973	CAGL0F08547g
9	6	2	2	4	0	0	2	3	3	4	5	4	0	2	7	9	16	2	8	12	9	7	18	21	3	9	29	19	16	42	28	22	9	18	17	22	9	2	9	CAGL0F08558r
1432	791	675	609	913	735	404	647	364	349	446	293	594	891	785	830	840	1192	461	1279	825	950	760	724	1305	894	656	951	951	712	940	826	910	493	703	715	793	697	471	540	CAGL0F08569g
121	101	114	76	101	62	38	70	38	24	55	27	70	82	79	87	77	165	57	154	121	142	73	54	184	88	75	155	143	79	154	63	52	32	37	47	37	64	45	53	CAGL0F08591g
360	260	256	193	262	179	139	208	99	101	153	137	215	231	204	237	334	389	177	444	269	287	258	373	355	302	214	328	301	255	397	479	504	220	303	314	356	260	148	136	CAGL0F08613g
330	299	212	171	264	195	166	259	129	121	186	121	259	277	304	302	461	487	228	591	383	412	424	318	569	405	325	423	444	317	489	388	434	202	293	253	305	243	158	146	CAGL0F08635g
1086	905	799	606	996	667	460	721	399	341	503	212	666	839	698	823	1109	1314	554	1488	932	916	745	497	1317	799	623	966	891	692	1022	700	733	322	418	425	526	586	437	443	CAGL0F08657g
1915	1652	1446	1070	1638	1319	901	1360	788	749	1007	359	1390	1706	1548	1799	1953	2936	989	3008	1876	2105	1460	956	2551	1851	1260	2332	2039	1250	2146	1382	1411	578	806	833	1015	1012	628	688	CAGL0F08679g
57	60	33	34	41	35	26	30	15	11	32	10	36	47	56	39	64	67	34	80	38	48	67	36	75	94	60	70	57	56	59	41	63	25	24	36	48	40	24	15	CAGL0F08701g
586	583	463	365	457	391	311	406	182	168	299	108	407	526	397	462	623	852	368	748	500	563	620	349	885	863	557	723	595	501	568	488	516	166	209	263	281	452	214	235	CAGL0F08723g
1339	827	697	1550	2197	1965	413	470	820	797	317	8	353	476	1152	1704	749	2491	298	590	1405	1876	431	27	2383	2144	346	2647	1428	534	1722	243	239	15	9	17	8	56	19	251	CAGL0F08745g
0	0	1	0	0	0	0	2	2	1	1	1	2	1	0	1	1	3	2	10	1	5	4	1	2	3	3	0	2	3	3	3	0	0	1	0	1	1	0	0	CAGL0F08767g
746	675	564	375	525	380	279	444	196	149	324	203	433	539	370	384	634	687	371	1087	480	526	590	476	701	718	554	611	554	577	612	739	700	336	460	501	541	594	395	329	CAGL0F08789g
408	428	315	300	445	229	232	287	241	156	252	101	335	424	447	392	517	1065	299	835	800	814	382	208	1190	518	355	1118	907	517	1202	409	453	143	185	179	229	256	122	137	CAGL0F08811g
4989	4561	3596	3128	4591	2476	1865	2437	1739	1045	1875	1427	2249	2644	3344	2895	3670	6858	1630	4269	4629	3932	2873	3726	7767	5804	3044	7008	5017	4401	6059	6389	6991	1996	2451	2585	3013	3292	2161	2466	CAGL0F08833g
310	302	284	211	326	246	195	297	158	143	239	113	321	390	348	422	508	761	271	735	467	619	442	293	816	487	388	727	702	427	782	437	412	164	178	231	247	187	131	136	CAGL0F08855g
209	150	115	96	140	109	74	116	68	47	105	55	113	189	133	159	218	282	104	296	208	224	166	162	277	161	126	219	268	138	276	189	232	107	111	124	117	106	87	86	CAGL0F08877g
1742	1772	1419	1052	1599	1098	1245	1973	686	638	1458	244	1707	2142	1170	1273	1725	1560	916	2437	898	1023	1195	679	1191	1625	1220	1171	1071	1272	1225	1104	969	397	492	666	731	1069	699	647	CAGL0F08943g
2817	2164	2091	1456	2211	1629	1280	1784	996	831	1467	845	1763	2115	1917	1924	2142	3043	1032	2923	2124	2039	1500	2112	2678	1383	1284	2101	2069	1145	2179	2393	2555	1233	1632	1599	1902	1783	1103	1205	CAGL0F08965g
1376	1202	1166	826	1154	911	676	989	488	423	675	243	913	1144	906	991	1159	1708	669	1878	1050	1226	859	697	1451	1048	699	1370	1094	836	1222	1000	990	388	510	540	666	803	461	549	CAGL0F08987g
86	70	55	38	65	41	33	61	32	29	63	113	71	84	87	76	176	239	119	317	243	258	234	279	387	185	192	306	352	197	394	376	450	130	177	207	210	91	59	36	CAGL0F09009g
27744	6803	5841	3839	4934	3275	973	1263	614	602	915	13814	1042	1348	1136	1120	1833	2272	1925	5019	1831	1762	3250	38949	3153	1694	2865	2840	3118	4688	3708	39853	45628	25213	29902	30163	31719	14959	10800	11625	CAGL0F09031g
640	494	423	271	437	332	236	328	186	161	234	245	307	368	262	305	285	369	186	416	244	245	225	590	323	168	173	277	281	185	300	764	826	364	471	454	543	454	305	268	CAGL0F09053g
1733	1480	1338	953	1328	1114	1134	1837	786	714	1394	580	1795	2246	1727	1811	2955	2776	1609	4421	2177	2189	2246	1846	3012	2031	1616	2228	2432	2321	3045	1737	2283	895	1131	1138	1281	1223	779	684	CAGL0F09075g
463	444	352	204	323	211	225	300	120	100	236	149	292	342	288	291	510	484	274	604	380	370	344	422	588	441	329	409	395	331	500	518	563	281	379	423	426	431	238	215	CAGL0F09097g
731	348	324	220	293	250	207	307	124	127	196	200	251	338	251	351	464	425	249	763	347	359	375	358	493	338	254	396	392	320	380	493	530	342	490	470	499	396	284	237	CAGL0F09119g
2	5	10	8	5	2	1	2	2	0	2	0	2	0	3	6	5	18	2	1	11	6	2	0	14	8	8	9	15	2	12	0	0	0	1	0	0	0	0	2	CAGL0F09141g
1794	1921	1579	1319	1901	1393	1287	1949	973	759	1441	169	1697	2162	1348	1455	1780	1837	802	2241	1035	1105	1183	515	1381	1421	1059	1261	977	976	1035	791	748	334	404	404	470	898	459	598	CAGL0F09163g
931	830	810	526	721	516	528	880	358	291	589	190	883	936	659	741	1059	1240	731	2026	815	945	1220	569	1328	1609	1042	1193	1002	1302	1141	552	496	309	500	455	568	558	326	360	CAGL0F09185g
4373	2031	2137	2631	4007	2623	879	1639	1291	1239	1738	1521	1803	2435	3766	3424	4453	7374	3022	9626	5132	3504	3882	4347	5635	2161	3782	3720	3291	3903	3807	3555	4397	2375	3112	2784	3141	1842	1187	1891	CAGL0F09207g
687	685	562	430	585	494	512	802	438	389	688	233	901	934	855	967	1246	1560	716	1903	1046	1311	1096	627	1705	1080	899	1402	1481	973	1555	697	755	412	538	514	619	472	281	269	CAGL0F09229g
2492	805	678	466	682	427	276	438	222	209	424	2191	570	737	634	570	1171	1529	800	1945	1322	1087	1336	5045	2247	1386	1247	2081	1530	1462	1856	5366	6576	3150	3955	3796	4019	1475	1063	1104	CAGL0G00154g
2877	2170	1885	1424	2215	1434	1182	1711	814	713	1210	542	1474	1969	1579	1601	1945	2614	1044	2576	1632	1522	1354	1556	2245	1900	1225	2125	1445	1078	1476	2256	2425	992	1295	1480	1514	1714	1025	1105	CAGL0G00176g
6291	5614	5435	3455	4930	3706	3060	4689	2221	1854	3606	1550	4708	6612	4613	5127	8433	11102	4786	11453	8565	7215	7403	4783	13435	12180	7556	11484	7721	7407	8108	6683	7961	2772	3328	3391	3710	3817	2508	2631	CAGL0G00220g
1440	1489	939	748	1110	835	692	854	531	423	674	326	829	1021	1067	1103	1296	1959	802	1982	1300	1729	1149	697	2210	1552	979	1880	1728	1050	1925	861	962	619	512	516	541	1311	567	536	CAGL0G00242g
194	33	34	17	23	17	16	27	19	11	49	657	44	55	75	49	173	341	239	622	415	366	351	1306	596	279	434	641	545	518	753	1433	1560	787	1123	892	1138	157	131	124	CAGL0G00264g
10920	7982	6407	6320	8919	6865	3828	4956	3798	3346	4132	2012	4939	6420	7585	8492	5355	12351	2430	4126	8842	7308	3525	7614	15226	6744	3812	12468	9402	3294	10601	10610	11457	3749	5275	5486	6237	6099	3943	4211	CAGL0G00286g
8994	7490	7056	5870	8058	6340	6160	9198	4430	3823	5869	1455	7556	9210	9580	10152	12511	17457	5775	12424	13734	13116	12980	4682	31060	20626	10303	21689	17859	12044	16081	7229	8765	2846	3891	3831	4241	4149	2626	3004	CAGL0G00308g
55	30	22	17	31	25	19	33	8	14	31	58	50	58	38	41	87	130	58	138	79	114	98	120	172	113	74	131	134	98	183	177	206	87	108	109	128	37	18	23	CAGL0G00330g
177	168	158	113	170	120	76	161	89	67	103	81	168	209	188	227	265	408	166	407	281	329	216	174	463	292	208	438	336	190	376	274	253	97	136	151	194	119	74	77	CAGL0G00352g
522	332	296	262	348	246	176	326	164	104	256	187	348	374	343	312	521	586	313	876	498	450	515	490	730	482	525	608	600	545	759	539	644	316	351	342	386	376	221	250	CAGL0G00374g
815	577	495	408	565	449	271	464	238	209	348	216	419	537	437	498	624	766	339	919	506	544	454	567	708	469	378	621	540	440	654	751	804	347	384	451	547	496	329	346	CAGL0G00396g
